list name	name	label	cf	coding	color	Unnamed: 6
usage	11.0	Buy agricultural inputs (seeds, tools, fodder, fertilizer etc.)				
usage	12.0	Savings				
usage	13.0	Transport				
usage	14.0	Pay rent/shelter				
usage	15.0	Give as a gift/loan to neighbour/relative				
supportmaterial	1.0	Shoes				
supportmaterial	2.0	Mosquito nets				
supportmaterial	3.0	Basins				
supportmaterial	4.0	Jerry can				
supportmaterial	5.0	Clothes				
supportmaterial	6.0	Other (Specify)				
supportskills	1.0	Beadwork				
supportskills	2.0	Crocheting				
supportskills	3.0	Tailoring				
supportskills	4.0	Fishing				
supportskills	5.0	Embroidery				
supportskills	6.0	Hair cutting				
supportskills	7.0	Hair plaiting				
supportskills	8.0	Other (Specify)				
businesstraining	1.0	Book keeping				
businesstraining	2.0	Marketing				
businesstraining	3.0	Credit/loan access				
businesstraining	4.0	Management				
businesstraining	5.0	Other (specify)				
businesstraining	6.0	None				
scale	1.0	Increased		1.0	Green	
scale	2.0	Remained the same		0.0	grey	
scale	3.0	Decreased		-1.0	Red	
feel_leader_transp	1.0	Yes			Green	
feel_leader_transp	2.0	No			red	
feel_leader_transp	3.0	Don't know			grey	
rlptcomm	1.0	Good		1.0	Green	
rlptcomm	2.0	Poor		-1.0	red	
rlptcomm	3.0	Moderate		0.0	grey	
perception	1.0	Signiﬁcantly increase		2.0	Green	
perception	2.0	Slightly increase		1.0	lightgreen	
perception	3.0	No change		0.0	grey	
perception	4.0	Slightly decrease		-1.0	Yellow	
perception	5.0	Signiﬁcantly decrease		-2.0	red	
vilage	1.0	Pamir 				
vilage	2.0	Ajoung Thok 				
vilage	3.0	Host community   				
section		FSL+(Respondent profile and Overall perception)		1.0	green	
section		Protection&CCM+(Respondent profile and Overall perception)		0.0	Blue	
